,prop_id,prop_id.1,prop_name.1,primary_commodity,mo_source_date,mo_yr_source_date,mine_type1,mine_type2,mine_type3,commodities_list,state_province,snl_global_region,latitude,longitude,coordinate_accuracy,distance_from,location_comments,locale,district,country/region_pol_risk,country/region_op_risk,country/region_sec_risk,country/region_ter_risk,millhead_grade_g_per_tonne,millhead_grade_g_per_cubic_m,millhead_grade_pct,millhead_grade_ct_per_tonne,millhead_grade_ct_per_cubic_m,recov_rate,production_capacity_oz,production_capacity_tonne,production_capacity_lb,production_capacity_ct,num_royalty_owners,owner_list,num_royalty_holders,royalty_holder_list,cash_cost_per_oz,cash_cost_per_tonne,cash_cost_per_lb,cash_cost_per_ct,total_production_cost_per_oz,total_production_cost_per_tonne,total_production_cost_per_lb,total_production_cost_per_ct,all_in_sustaining_cost_per_oz,all_in_sustaining_cost_per_tonne,all_in_sustaining_cost_per_lb,all_in_sustaining_cost_per_ct,start_up_yr,start_up_calendar_qtr,proj_start_up_yr,proj_start_up_qtr,actual_closure_yr,actual_closure_qtr,proj_closure_yr,proj_closure_qtr,mill_capacity_tonnes_per_day,mill_capacity_tonnes_per_year,mill_capacity_cubic_m_per_day,mill_capacity_cubic_m_per_year,stripping_ratio,waste_to_ore_ratio,mining_methods,processing_methods,production_forms,mining_processing_cost_per_metric_tonne,mining_processing_cost_per_cubic_m,amt_capital_invested,capital_cost_announced_date,capital_cost_proj_completion_date,capital_cost_completion_date,capital_cost_type,capital_cost_comments,capital_improvement_yr,owner_name,current_owner_common_name,current_owner_company_name_abbrev,owner_type,owner_pct,current_controlling_own_pct,owner_hq,owner_city_state,owner_location,owner_frgn_province,owner_country,owner_global_region,prop_name,also_known_as,country_name,actv_status,dev_stage,yr_source_date,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),remark,production_capacity_openpit,production_capacity_underground,production_capacity,productiion_to_capacity,mine_life,country/region_overall_risk,prob_shutdown,current_stage
6,26731.0,26731.0,Agata,Nickel,9.0,09/2020,Open Pit,,,"Nickel,Cobalt,Gold,Copper,Iron Ore",Agusan del Norte,Asia-Pacific,9.28333,125.52944,Exact,35 km N of Butuan City,"Agata is located in barangays Binuangan, Tagpangahoy, and Tinigbasan, all in the municipality of Tubay. (Mindoro Rpt 11/4/11)",,,2.0,2.0,2.0,2.0,,,,,,,,,,,5.0,"TVI Resource Development Philippines Inc. (Venturer) 60%; Mindoro Resources Limited (Venturer) 40%; Minimax Mineral Exploration Corp. (Fractional); Red Mountain Mining Limited (Fractional); Agata Mining Ventures, Inc. (Venture)",2.0,Local Interest (NSR) 1%; Corplex Resources Inc. (NSR),,,,,,,,,,,,,2014.0,4.0,2015.0,,,,2034.0,,,,,,,,"Contour, Multiple Bench Open Pit, Open Pit","Crushing, Magnetic Separation, Smelting",Concentrate,13.14,,10100.0,2013-09-10,,2014-03-31,Initial Capital Cost,"In September 2013, an updated feasibility study for Agata outlined a DSO project producing 2 million mt/y ore grading 0.9% Ni and 48% Fe in 2014, ramping up to 2.5 million mt/y ore in 2015, dropping to 1.8 million mt/y ore in 2016, and remaining at a steady 500,000 mt/y ore from 2017 onward. Initial capital costs were estimated at $11.5 million. (TVI PR 9/10/13)_x000D_
In November 2011, Mindoro announced results from the scoping study on a DSO and prefeasibility study into hydrometallurgical processing for Agata._x000D_
The DSO study concluded that a DSO would cost $8 million and would be able to fund further studies into downstream processing. Thermal upgrading of the DSO would cost $88 million (including the $8 million for the DSO) to produce 600,000 mt/y of sinter which could be processed through crushing and magnetic separation into 175,000 mt/y of concentrate grading 3-4% Ni and 65% Fe. _x000D_
The hydrometallurgical project (which would be phase-two) would cost $1.02 billion and could produce 17,200 mt/y Ni and 950 mt/y Co in mixed hydroxide over a 20-year mine life at cash costs of $3.4/lb Ni ($2.6/lb after byproducts). Both studies used a nickel price of $10/lb. (Mindoro PR 11/1/11)",2014.0,TVI Resource Development Philippines Inc.,TVI Resource Development Philippines Inc.,TVI,Venturer,60.0,60.0,Makati City,"Makati City, Metro Manila",Makati City [PH],Metro Manila,Philippines,Asia-Pacific,Agata,"Agata North, American Tunnels, Bolobolo, EP 27, Karihatag, Mat-I, Payong Payong, San Jose, San Vicente, Surigao del Norte, Tapian Main, Tapian San Francisco",Philippines,Active,Operating,2020.0,231302.3474178404,1.5,18949.0,26.036993,286407.0,15420156.49452269,Global Ferronickel Holdings Inc AnnRpt 2018MGB 2019 - Caraga office,3036142.3010693607,1652895.777544357,4554213.451604041,0.004160762380016678,12.206572769953054,8.0,0.2621440000000001,Operating-stage
7,29064.0,29064.0,Aguablanca,Nickel,1.0,01/2017,Open Pit,Underground,,"Nickel,Copper,Cobalt,Gold,Platinum,Palladium",Badajoz,Europe,37.96111,-6.18528,Exact,16 km SSE of Monesterio,"Aguablanca is located 80 km by road to Seville and 140 km from a major seaport at Huelva. (Lundin 12/14 MD&A Feb 18, 2015)_x000D_
The deposit is located between Huelva, Sevilla, and Badajoz.  (MB 11/10/94)",,,2.0,2.0,1.0,1.0,,,,,,,,,,,3.0,"Disa Corporación Petrolífera, S.A. (Owner) 12.74%; Beta Asociados, S.L. (Owner) 7.84%; Grupo Empresarial Fuertes S.L. (Owner) 6.42%",,,,,,,,,,,,,,,2005.0,2.0,2004.0,3.0,2016.0,,2018.0,,5760.0,1900000.0,,,,,,"Ball, Crushing, Flotation, Semi-Autogenous Grinding",Concentrate,,,85000.0,2004-03-29,2005-06-15,,Initial Capital Cost,"In March 2004, the capital costs for Aguablanca were EUR 70 million ($85 million). (Rio Narcea PR 3/29/04)_x000D_
	In August 2003, Rio Narcea had revised the capital costs to construct the Aguablanca mine to about $70 million (Euro 62.5 million), including working capital and VAT, as a result of the appreciation of the Euro against the U.S. dollar. The additional funds required to finance the construction of the project would come from a $6.5 million VAT reimbursement loan and Rio Narcea's available cash resources. (Rio Narcea PR 8/21/03)",2005.0,"Disa Corporación Petrolífera, S.A.",Disa Corporación Petrolífera S.A.,Disa Corporación P,,12.74,47.19,Santa Cruz De Tenerife,Santa Cruz De Tenerife,Santa Cruz De Tenerife [ES],Santa Cruz de Tenerife,Spain,Europe,Aguablanca,"Area 108, La Monaguera, La Remonta",Spain,Rehabilitation,Closed,2017.0,26400.0,0.6,,6.944,41374.0,4400000.0,Lundin Mining AnnInfForm 2014,537487.8431781852,327573.8634617719,322492.7059069111,,,6.0,0.04665599999999999,Closed-stage
17,28119.0,28119.0,Alpha,Nickel,12.0,12/2017,Open Pit,,,"Nickel,Cobalt,Chromite,Iron Ore",Palawan,Asia-Pacific,9.20961,118.22994,Exact,20 km WSW of Narra,The Alpha property adjoins the Mt Beaufort property. (PC 11/92),,,2.0,2.0,2.0,2.0,,,,,,,,,,,3.0,Patricia Louise Mining and Development Corp (Venturer) 60%; MBMI Resources Inc. (Venturer) 40%; Narra Nickel Mining and Development Inc (Venture),2.0,Unnamed Owner (Royalty) 5.5%; Fenway Resources Ltd. (NPI),,,,,,,,,,,,,,,1993.0,4.0,,,,,,,,,,,Open Pit,Crushing,Ore,,,,1991-11-29,,,Initial Capital Cost,"THE CAPITAL COST WAS PROJECTED AT $10 MILLION IN A 1974 FEASIBILITY STUDY, WHICH WAS UPDATED IN OCTOBER 1991 USING A 254,000-ST/Y PROCESSING RATE.  (VSW 11/29/91) _x000D_
   THE $10-MILLION FIGURE INCLUDES EXPENDITURES FOR NECESSARY IMPROVEMENTS TO THE PORT FACILITY AND ROADS, AS WELL AS NEW EQUIPMENT COSTS, FEES, AND FINANCING CHARGES.  _x000D_
   IF FENWAY WERE TO DEVELOP THE LOW-GRADE LATERITES, COSTS TO PRODUCTION COULD BE AS HIGH AS $270 MILLION.  (PC 11/92) _x000D_
   IN 1992 FENWAY INITIATED NEGOTIATIONS FOR A $10-MILLION LOAN FROM A SWISS FUND, WHICH WAS APPROVED IN MARCH, SUBJECT TO NEGOTIATION OF AN ORE SALES CONTRACT.  HOWEVER, LOW NICKEL PRICES HALTED PROGRESS IN THIS AREA.  (PC 11/92; PC 1/93)",1991.0,Patricia Louise Mining and Development Corp,Patricia Louise Mining and Development Corp.,Patricia Louise,Venturer,60.0,60.0,,,,,,,Alpha,"Beaufort, Bethlehem, C1, Mindoro, Narra, Olympic, Patricia, Sablayan",Philippines,Temporarily On Hold,Reserves Development,2017.0,,1.32,,2.721,35364.0,,"Fourie et al., 2009; Galkine, 2017",,,,,,8.0,0.2621440000000001,Development-stage
20,30428.0,30428.0,Ambatovy,Nickel,1.0,01/2021,Open Pit,,,"Nickel,Cobalt,Magnesium",Toamasina,Africa,-18.8604,48.30255,Exact,15 km NE of Moramanga,"The Ambatovy project is located in Madagascar, 80 km east of the capital city of Antananarivo and 11 km north of the town of Moramanga. The property is about 120 km by road from Antananarivo. (Sherritt TR 9/29/14)",,,2.0,3.0,2.0,1.0,,,,,,,,,,,3.0,Sumitomo Corporation (Venturer) 54.17%; Korea Resources Corporation (Venturer) 45.82%; Unnamed Owner (Venturer) 0.01%,,,,,,,,,,,,,,,2012.0,3.0,2012.0,4.0,,,2044.0,,19000.0,6270000.0,,,0.6,,Open Pit,"Direct Reduction, Flotation, Leach, Precipitation, Pressure Acid Leaching, Solvent Extraction, Zinc Precipitation","Briquettes, Powder",,,5500000.0,2010-12-17,2012-01-01,2012-09-30,Initial Capital Cost,"In the September 2012 quarter, Ambatovy began production. Ramp up continued and commercial production was expected by early 2013. Total capital costs at Ambatovy were expected to remain within the $5.5 billion estimate. (Sherritt 9/12 QR 10/31/12)_x000D_
	During 2011, capital spending at Ambatovy was $1.1 billion (100% basis) provided by the Ambatovy JV partners. Sherritt funded its $430.9 million share by using $381.3 million of cash on hand and borrowing the remaining $45.7 million under the Ambatovy JV additional partner loans. (Sherritt 12/11 AR 3/29/12)_x000D_
	During the September 2011 quarter, Sherritt completed draw-down of the $2.1 billion senior project loan and $800 million partner loans. A further $500 million was available through various facilities. (Sherritt 9/11 QR 10/26/11)_x000D_
	In June 2011, Sherritt announced an increase in Ambatovy's capital cost to $5.5 billion due to inaccurate bulk material quantity estimates, the additional cost to transport the materials onsite, poor performance by certain contractors, and general delays. Production was expected to begin in early 2012. (Sherritt PR 6/14/11)_x000D_
	As of February 2011, Ambatovy was expected to begin production in the summer. Of the 56 plant modules, 22 have been transferred to the commissioning team. (Sherritt 12/10 QR 2/23/11)_x000D_
	In December 2010, the JV approved an increase in Ambatovy's capital cost to $4.76 billion (including a $50 million contingency). The mine remained on track for commissioning in early 2011. (Sherritt PR 12/17/10)_x000D_
	By September 2009, $1.7 billion had been drawn on the senior project financing and $400 million was drawn from partner loans. (Sherritt 9/09 QR 10/28/09)_x000D_
	In June 2009, Sherritt finalized arrangements with its JV partners for the funding of Ambatovy.  The JV partners would make loans available to Sherritt for the development of Ambatovy.  The loans would be payed back with Sherritt's share of profits from Ambatovy or could be converted (partly or entirely) into equity interest in the project of up to 15%.  The JV partners would also guarantee a portion of Sherritt's project completion guarantee on the previously arranged $2.1 billion senior project financing. (Sherritt PR 6/24/09)_x000D_
	In February 2009, Sherritt announced updated capital costs for Ambatovy of $4.52 billion.  Efforts were ongoing to reduce this total. (Sherritt 12/08 QR 2/25/09)_x000D_
	In late August 2007, Sumitomo announced that the capital costs for Ambatovy had increased to $3.3 billion.  A project debt facility of $2.1 billion had been arranged with a syndicate. (MJ 8/24/07)_x000D_
	In early August 2007, Korea Resources planned to offer a minerals fund to raise $280 million.  The proceeds would be used to finance the company's share of the capital costs. (MJ 8/17/07)_x000D_
	In May 2006, Dynatec announced results of work by SNC-Lavalin Engineers & Constructors Inc to update the Ambatovy project's feasibility study, first released in February 2005. _x000D_
	The capital cost was estimated at $2.5 billion (inclusive of a $286 million contingency). (Dynatec Corp PR 5/4/06) _x000D_
	In February 2005, a feasibility study at Ambatovy projected capital costs of $2.25 billion. (Dynatec PR 2/24/05)_x000D_
      Included in the cost estimate was $330 million for a refinery, $287 for infrastructure improvements, and $1.26 billion for a processing plant. (MiningNews.net 3/7/05)",2012.0,Sumitomo Corporation,Sumitomo Corp.,Sumitomo Corp,Venturer,54.17,54.17,Tokyo,Tokyo,Tokyo [JP],Tokyo,Japan,Asia-Pacific,Ambatovy,"Ambatovy Central, Ambatovy Southeast, Ambatovy West, Analamay, Analamy, Hill of Fire",Madagascar,Active,Operating,2021.0,1096000.0,0.88,39224.0,254.6,2281100.0,124500000.0,Sherritt International AnnInfForm 2019Sherritt International AnnInfForm 2019; Sherritt International AnnRpt 2019,6923343.927388329,3123215.8688942366,6092542.65610173,0.0064380345307417505,27.942076279828676,8.0,0.2621440000000001,Operating-stage
27,36147.0,36147.0,Araguaia,Nickel,11.0,11/2021,Open Pit,,,"Nickel,Cobalt,Iron Ore",Pará,Latin America and Caribbean,-7.99542,-49.41298,Exact,70 km E of Redenção,"The Araguaia property is located about 40 km north of Conceicao do Araguaia. (Horizonte TR Mar 25, 2014)",,Carajas Mineral Province,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,Horizonte Minerals Plc (Owner) 100%,2.0,Orion Resource Partners (Royalty) 2.25%,,,,,,,,,,,,,,,2021.0,,,,2049.0,,2500.0,900000.0,,,2.1,,Open Pit,"Calcination, Crushing, Smelting",Granules,,,443076.0,2016-10-03,,,Initial Capital Cost,"In October 2018, Horizonte reported results of the Feasibility Study for the Araguaia project. The Study considered open pit mining with rotary kiln electric furnace (RKEF) processing (throughput capacity of 900,000 mt/y) with a production capacity of 14,500 mt/y Ni and 32,000 mt/y Fe over a 48 year mine life. The process plant design allows for an expansion by addition of a second RKEF line for which a PEA is underway. The estimate capital cost is $443 million including $40.989 million in contingency. (Horizonte PR Oct 29, 2018)_x000D_
   In October 2016, Horizonte reported results of a Pre-Feasibility Study on the combined 100% Araguaia project  which included the original Araguaia nickel project and the former Glencore Araguaia project. The proposed 14,500 mt/y Ni in ferronickel from a single line Rotary Kiln Electric Furnace Plant had a 28 year mine life. The post-tax NPV was $581 million at an 8% discount rate (for nickel price $14,000/mt). The pre-production capital cost of $353.3 million included $202.4 million for direct plant costs, and $46.3 million contingency. The LOM capital cost estimate of $423 million included $20 million for closure. (Horizonte PR Oct 3, 2016, TR Sept 30, 2016))",2016.0,Horizonte Minerals Plc,Horizonte Minerals PLC,Horizonte,,100.0,100.0,London,"London, England",London [GB],England,United Kingdom,Europe,Araguaia,"ANN, ANP, ANS, Araguaia Nickel North, Araguaia Nickel South, BAI, Baiao, Enlarged Project, Floresta, GAP, Glencore Araguaia project, HZMA, JAC, Jacutinga, Lontra, Oito, Pau Preto, Pequizeiro, Pequizeiro West, PQNW, PQW, PQZ, Raimundo, SDT, Serra do Tapa, Vale do Sohnos, Vale dos Sonhos, VDS, Vermelho, Vila Oito, Vila Oito East, Vila Oito West, VOE, VOI, VOW",Brazil,Active,Construction Planned,2021.0,308376.9999999999,1.13,,73.0,876000.0,27290000.0,"Dreisinger et al., 2008Blanchefield et al., 2018",3314773.7995461384,1714213.5242079953,3745694.393487136,,,7.0,0.11764899999999996,Construction-stage
36,31689.0,31689.0,Avebury,Nickel,7.0,07/2017,Underground,,,"Nickel,Cobalt",Tasmania,Asia-Pacific,-41.91957,145.2567,Exact,30 km NW of Queenstown,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Dundas Mining Pty Limited (Owner) 100%,1.0,"Royal Gold, Inc. (NSR) 2%",,,,,,,,,,,,,2008.0,3.0,2019.0,1.0,2009.0,1.0,2017.0,1.0,2730.0,900000.0,,,,,"Open Stope, Underground","Crushing, Flotation, Grinding",Concentrate,,,58670.0,2002-12-04,,,Initial Capital Cost,"In late-September 2007, Allegiance announced an institutional placement of 42 million shares to raise $24.7 million (A$30.24 million).  The proceeds would be used at Avebury for construction and exploration. (Allegiance PR 9/28/07) The placement was completed in early October to raise $24.7 million (A$30.24 million). (Allegiance PR 10/3/07)_x000D_
	In mid-September 2007, Allegiance entered into a project finance facility with Australian & New Zealand Banking Group and Societe Generale for $60 million (A$73 million). (Allegiance PR 9/20/07)_x000D_
	In mid-July 2007, Allegiance received $26.68 million (A$33.04 million) as part of a $31.08 million (A$38.49 million) share placement with Jinchuan Nickel to fund the project. (Allegiance 6/07 HY 7/24/07)_x000D_
	In December 2005, Allegiance completed its feasibility study, which estimated capital costs at A$77 million, ($58.67 million) made up of: mill direct A$ 42 million   ($32 million); mill indirect and contingency A$ 14 million (10.7 million); tailings dam, backfill plant, concentrate loader, and shed A$ 4 million ($3 million); mine decline A$ 6 million ($4.6 million); mine ventilation and pump station A$ 4 million ($3 million); mine contingency and sundries A$ 7 million ($5.3 million). (Allegiance PR 12/06/05)_x000D_
      In February 2004, Allegiance Mining decided to construct a purpose-built treatment facility at Avebury inpreference to processing Avebury ore at Renison (profile# 106912). (Allegiance PR 2/13/04)_x000D_
	In June 2003, Allegiance planned to develop the viking decline.  The estimated cost was A$7.5 million. (Allegiance PR 6/2/03)_x000D_
      In December 2002, discussions were under way with Western Metals to toll-treat Avebury ore at their nearby Hellyer mill for the first two-to-three years of operations. The initial mine development capital cost was therefore estimated to be about $10 million, since no mill facility would have to be constructed during the first phase of operations. (Western Metals PR 12/4/02) _x000D_
	In February 2001, Allegiance received a scoping study, which estimated capital costs prior to production to be $32.2 million made up of: infrastructure $4.3 million, mine $11.6 million, and mill $16.3 million. A further $3.7 million capital expenditure was estimated post start-up.",2002.0,Dundas Mining Pty Limited,Dundas Mining Pty. Ltd.,Dundas Mining Pty,,100.0,100.0,Burnie,"Burnie, Tasmania",Burnie [AU],Tasmania,Australia,Asia-Pacific,Avebury,"Bintje, Bison, Burbank, Melba Flats, Nickel Reward, North Cuni-Genet, North Viking, Saxon, South Viking, Trial Harbour, Viking, Zeehan",Australia,Care And Maintenance,Closed,2017.0,87000.0,1.0,,18.2,171000.0,8700000.0,Poseidon Nickel PR20200306,1395277.7540018966,799751.8900691253,799751.8900691253,,,4.0,0.0040960000000000015,Closed-stage
54,29601.0,29601.0,Barnes Hill,Nickel,6.0,06/2020,Open Pit,,,"Nickel,Cobalt,Iron Ore",Tasmania,Asia-Pacific,-41.21855,146.774,Exact,190 km NNW of Hobart,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Tasmania Energy Metals Pty Ltd (Owner) 100%,,,,,,,,,,,,,,,,,2024.0,,,,2043.0,,1515.0,500000.0,,,,,Open Pit,Heap Leach,Concentrate,,,81400.0,2008-06-12,2012-12-31,,Initial Capital Cost,"In March 2013, Metals Finance completed an optimized feasibility study for Barnes Hill that estimated capital costs at $81.4 million (A$78.4 million). (Metals Finance PR 3/26/13)_x000D_
In July 2012, Metals Finance completed a feasibility study on Barnes Hill with a refined capital cost of $72 million (A$70 million) for a 500,000-mt/y project. (Metals Finance PR 7/2/12)	_x000D_
In February 2012, Metals Finance announced an updated capital cost of 102.6$ million (A$98 million) for a 500,000-mt/y project at Barnes Hill. (Proto PR 4/3/12)_x000D_
In August 2011, Proto signed an agreement with Caterpillar to make Caterpillar the equipment supplier and debt financier for Barnes Hill. Caterpillar would provide a project loan and subordinated loan totaling $36 million. The remaining $24 million of the capital cost would be covered by equity funding from Metals Finance. (Proto PR 8/16/11)_x000D_
In March 2011, Proto announced that the pilot plant was in operation. Metals Finance notified Proto that the feasibility study would be completed in mid-2011 with capital costs anticipated to be $50 million (A$50 million). In advance of its completion, Proto was in discussions with possible finance partners and was seeking mining license approval. (Proto PR 3/1/11)_x000D_
In October 2009, Metals Finance completed a review and remodelling of the June 2008 scoping study which resulted in nickel and cobalt recoveries increasing to 80% and 70%, respectively, with capital costs increasing to $68 million (A$85 million). (Proto PR 10/14/09)_x000D_
In June 2008, Proto announced results from the completed scoping study for Beaconsfield.  For a capital cost of $54 million (A$60 million), a 500,000-mt/y leach operation could produce 4,000 mt/y Ni with recoveries of 75% and cash costs of $4.5/lb Ni (A$5). (Proto PR 6/12/08)_x000D_
In early August 2007, Proto signed a binding finance and development agreement with Metals Finance Corp whereby Metals Finance would fund the prefeasibility at Beaonsfield, engineer the production facility and finance the capital expenditures of the processing facility.  Once an operation decision is made, Metals Finance would be able to acquire a 50% interest in the project. (Proto 6/07 AR 9/23/07)",2012.0,Tasmania Energy Metals Pty Ltd,Tasmania Energy Metals Pty. Ltd.,Tasmania Energy Me,,100.0,100.0,Hobart,"Hobart, Tasmania",Hobart [AU],Tasmania,Australia,Asia-Pacific,Barnes Hill,"Anderson's Creek, Beaconsfield, EL 17/2006, Mt Vulcan, Pandora, Peaked Hil, Scotts Hill, Simmonds Hill",Australia,Active,Prefeas/Scoping,2020.0,,0.58,,24.8,,,,,,,,,4.0,0.0040960000000000015,Late-stage exploration
55,31041.0,31041.0,Barro Alto,Nickel,10.0,10/2021,Open Pit,,,Nickel,Goiás,Latin America and Caribbean,-15.108276,-49.040358,Exact,10 km SSW of Barro Alto; 31.7 km NE of Goianésia,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,Anglo American plc (Owner) 100%,,,,,,,,,,,,,,,2011.0,1.0,2011.0,,,,2040.0,,7270.0,2400000.0,,,,,Open Pit,Smelting,,,,1900000.0,1999-04-22,,2011-03-31,Initial Capital Cost,"In late March 2011, Anglo American began production at its $1.9 billion Barro Alto project. (Anglo American PR 3/31/11)_x000D_
	In November 2008, Anglo American received financing of $880.5 million (BRL$1.42 billion) from BNDES for development of Barro Alto. The project consisted of a new ferronickel processing unit, providing annual production of 32,600 mt Ni by 2011. A portion of the scheduled 2.7 million-mt/y throughput was to be processed at the Codemin plant at Niquelandia (profile# 107306), with the remaining amount processed onsite. (BNA 11/10/08)_x000D_
	In January 2008, it was reported that the initial project cost of $1.2 billion had been revised to $1.5 billion owing to fluctuations in the Brazilian exchange rate. (MJ 1/11/08)_x000D_
     	In December 2006, Anglo American estimated capital costs at $1.2 billion. (Anglo American PR 12/7/06)_x000D_
   	In July 2001, development costs for a 40,000 mt/y Ni operation were estimated at $750 million, the amount that Anglo American was planning to spend on Barro Alto. (MM 7/01) _x000D_
	In April 1999, capital costs for a 22,000-mt/y Ni operation were estimated at $400 million. (Anglo PROS 4/22/99)",2011.0,Anglo American plc,Anglo American PLC,Anglo American,,100.0,100.0,London,"London, England",London [GB],England,United Kingdom,Europe,Barro Alto,,Brazil,Active,Operating,2021.0,731000.0,1.29,52575.0,88.0,1118000.0,56600000.0,"Blanchefield et al., 2018Anglo American AnnRpt 2019",6079859.543697937,2944363.3650845364,7843018.811370339,0.0067034137319395325,13.903946742748454,7.0,0.11764899999999996,Operating-stage
76,28282.0,28282.0,Berong,Nickel,8.0,08/2020,Open Pit,Stock Pile,,"Nickel,Cobalt",Palawan,Asia-Pacific,9.404,118.232,Exact,90 km SW of Puerto Princesa,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,3.0,"DMCI Holdings, Inc. (Venturer) 74.8%; Atlas Consolidated Mining and Development Corporation (Venturer) 25.2%; Berong Nickel Corporation (Venture)",,,,,,,,,,,,,,,2007.0,1.0,2011.0,,,,,,,,,,,,"Open Pit, Stock Pile",Heap Leach,Ore,,,420000.0,2008-10-07,,,Initial Capital Cost,"In October 2008, European Nickel completed a conceptual study into a heap leach operation at Berong.  Based on a non-JORC compliant resource of 275 million mt grading 1.3% Ni and a nickel price of $6.25/lb, the project would cost $420 million to build, producing 25,000 mt/y Ni at cash costs of $2.99/lb Ni. (Toledo PR 10/7/08)_x000D_
	A $300 million estimate was established by a feasibility study in the early 1970s to develop an open pit mine for the four existing deposits. Atlas Consolidated would probably ship raw ore to smelters in Japan. (PC 11/92)",2008.0,"DMCI Holdings, Inc.",DMCI Holdings Inc.,DMCI Hldgs Inc,Venturer,74.8,74.8,Makati City,"Makati City, Metro Manila",Makati City [PH],Metro Manila,Philippines,Asia-Pacific,Berong,"Dangla, Long Point, Longpoint, Moorsom, Moorson, MPSA No. 235-2007-IVB, Palawan, Tagkawayan",Philippines,Active,Operating,2020.0,106807.5117370892,1.62,8750.0,3.3802,52390.0,6593056.280067234,Nickel Asia AnnRpt 2018MGB 2019 - Mimaropa office,1887533.1134010716,1109246.601228487,3057803.6437097364,0.0028615310266896254,12.20657276995305,8.0,0.2621440000000001,Operating-stage
94,29416.0,29416.0,Black Swan,Nickel,11.0,11/2021,Underground,Open Pit,,"Nickel,Copper,Cobalt,Arsenic,Gold,Iron Ore",Western Australia,Asia-Pacific,-30.39494,121.64818,Exact,40 km NNE of Kalgoorlie,The Black Swan is located 53 km from Kalgoorlie. (Poseidon PR 8/13/14),,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Poseidon Nickel Limited (Owner) 100%,7.0,Unnamed Owner (NSR) 3%; Australian Diamond Exploration Nl (Ashton) (Royalty); Harmony Gold Mining Company Limited (Royalty); Indago Resources Ltd. (Royalty); Osisko Gold Royalties Ltd (Royalty); Western Areas Limited (Royalty),,,,,,,,,,,,,1997.0,3.0,2022.0,4.0,2009.0,,2022.0,,3300.0,1100000.0,,,,,"Long Hole Stoping, Open Pit","Ball, Carbon-In-Leach, Crushing, Flotation, Semi-Autogenous Grinding","Bullion, Concentrate, Direct Shipping Ore",,,35900.0,1997-08-31,,,Initial Capital Cost,"The mine started operations one year after construction began, at an estimated cost of A$46 million.  (ME 8/97)",1997.0,Poseidon Nickel Limited,Poseidon Nickel Ltd.,Poseidon Nickel,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Black Swan,"Blebby, Canard, Cannard, Central, Cygnet, Daffy Duck, Donald Duck, Drake, E27/357, Fledgling, Fledgling-Canard, Golden Swan, Goose, Gosling, Kalpini, L27/0058, L27/0059, L27/0074, L27/0075, L27/0077, L27/0078, M27/0216, M27/200, M27/39, ML 27/200, ML 29/39, Mute, Mute Swan, Odette, P27/1808, P27/1809, P27/1810, P27/1811, Pato, Peking Duck, Silver Duck, Silver Swan, Silver Swan Deeps, Sitting Duck, Southern Terrace, Swan River, Trumpeter, Tundra, Tundra Mute, Tundra Swan, Tundra-Mute, White Swan, White Swan Lower, Windarra",Australia,Active,Feasibility Complete,2021.0,6800.0,5.2,,30.87,195030.0,130000.0,Norilsk Nickel AnnRpt 2014,472106.1723046699,395035.4901691152,2054184.548879399,,,4.0,0.0040960000000000015,Development-stage
