prop_name,dev_stage,actv_status,country_name,current_stage,production_capacity,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),late_exp_stage_lead_time,late_exp_stage_left_time,fea_stage_lead_time,fea_stage_left_time,dev_stage_lead_time,dev_stage_left_time,latitude,longitude
Acoje,Operating,Active,Philippines,Operating-stage,435259.7344599805,7400.564243656243,1.08,855.7545454881948,68.1988,702450.0,1143801.078073379,,,,,,,15.71083,120.05778
Adlay-Cagdianao-Tandawa,Operating,Active,Philippines,Operating-stage,6016589.984807279,277352.9644952077,1.32,32071.346488864394,17.373986,217175.0,35072627.68530374,,,,,,,9.36,125.84
Agata,Operating,Active,Philippines,Operating-stage,4554213.451604041,138570.4464951009,1.5,16023.411939185575,26.036993,286407.0,15420156.49452269,,,,,,,9.28333,125.52944
Aguablanca,Closed,Rehabilitation,Spain,Closed-stage,322492.7059069111,,0.6,,6.944,41374.0,4400000.0,,,,,,,37.96111,-6.18528
Alexo-Dundonald,Reserves Development,Active,Canada,Operating-stage,,,1.03,,2.26,,,,,,,8.0,,48.65444,-80.80861
Alpha,Reserves Development,Temporarily On Hold,Philippines,Operating-stage,,,1.32,,2.721,35364.0,,,,,,6.0,,9.20961,118.22994
Ambatovy,Operating,Active,Madagascar,Operating-stage,6092542.65610173,904047.0694076978,0.88,33168.09910299304,254.6,2281100.0,124500000.0,,,,,,,-18.8604,48.30255
Araguaia,Operating,Active,Brazil,Operating-stage,8378164.114056395,384735.9648045911,1.69,13212.61341230538,105.1,1669328.0,27290000.0,,,,,,,-6.96787,-49.3806
Araguaia,Construction Planned,Active,Brazil,Operating-stage,3314773.7995461384,,1.13,20753.267591971664,73.0,876000.0,27290000.0,,,,,0.0,,-7.99542,-49.41298
Avalon,Reserves Development,Active,Australia,Operating-stage,,,0.86,,169.8,1403000.0,,,,,,7.0,,-30.6904,121.822
Avebury,Closed,Care And Maintenance,Australia,Closed-stage,799751.8900691253,,1.0,,18.2,171000.0,8700000.0,,,,,,,-41.91957,145.2567
Bahubulu,Reserves Development,Active,Indonesia,Operating-stage,4547546.368020239,,1.74,28471.45910087287,27.0,,22848275.86206897,,,,,2.0,,-3.545,122.31
Baiyin Huzuo,Reserves Development,Active,China,Operating-stage,124407.07822416919,,0.14,778.8927814848311,,,4345778.0,,,,,4.0,,44.49197,117.58842
Barnes Hill,Prefeas/Scoping,Active,Australia,Feasibility-stage,,,0.58,,24.8,,,2.0,,11.0,3.0,,,-41.21855,146.774
Barro Alto,Operating,Active,Brazil,Operating-stage,7843018.811370339,473710.44957448787,1.29,44457.80160972515,88.0,1118000.0,56600000.0,,,,,,,-15.108276,-49.040358
Belininskoye,Feasibility,Inactive,Russia,Development-stage,,,1.0,,35.0,,,,,9.0,,8.0,1.0,53.13,85.91
Berong,Operating,Active,Philippines,Operating-stage,3057803.6437097364,63987.092027660176,1.62,7399.063510891013,3.3802,52390.0,6593056.280067234,,,,,,,9.404,118.232
Biankouma-Sipilou,Reserves Development,Active,Cote d'Ivoire,Operating-stage,,,1.1165,,230.0,3404000.0,,,,,,5.0,,7.86926,-7.91147
Bird River,Reserves Development,Active,Canada,Operating-stage,,,2.66,,5.2,,,,,,,7.0,,50.48077,-95.50764
Black Hill,Reserves Development,Inactive,Australia,Operating-stage,,,0.64,,30.0,,,,,,,5.0,,-30.92164,121.85301
Black Swan,Feasibility Complete,Active,Australia,Development-stage,2054184.548879399,,5.2,,30.87,195030.0,130000.0,,,,,8.0,2.0,-30.39494,121.64818
Blezard,Reserves Development,Inactive,Canada,Operating-stage,867252.7425432542,,1.41,5429.730450486789,,,3400000.0,,,,,1.0,,46.57851,-80.97357
Bluebush Line,Reserves Development,Active,Australia,Operating-stage,677215.5617992352,,3.04,4239.938113843935,,,650000.0,,,,,8.0,,-31.607,121.792
Boa,Reserves Development,Active,Philippines,Operating-stage,,,1.7,,1.76,,,,,,,4.0,,10.113,125.654
Brooke's Point,Reserves Development,Inactive,Philippines,Development-stage,,,1.23,,34.8,,,,,,,9.0,2.0,8.96032,117.82398
Bulanjao,Reserves Development,Active,Philippines,Development-stage,,,1.54,,10.225,,,,,,,7.0,0.0,8.56651,117.42216
Buli,Satellite,Active,Indonesia,Operating-stage,1797412.817085861,,1.8,11253.313626205787,,,5200000.0,,,,,4.0,,0.843,128.27
Bulong,Reserves Development,Active,Australia,Operating-stage,,,0.88,,54.1,476100.0,,,,,,3.0,,-30.80006,121.81901
Cagdianao,Operating,Active,Philippines,Operating-stage,3557313.1778994277,214062.3774749383,1.32,8456.072583875442,,,15626000.0,,,,,,,10.16278,125.66694
Cagdianao,Operating,Inactive,Philippines,Closed,1177696.7137113032,0.0,1.2,0.0,75.688,908256.0,3824829.0,,,,,,,9.48482,125.85012
Caldag,Construction Planned,Active,Turkey,Operating-stage,3765228.641869194,,1.13,22455.119693178982,33.0,375160.0,33200000.0,,,,,4.0,,38.9,27.73333
Camaguey,Feasibility,Inactive,Cuba,Operating-stage,,,1.15,,306.0,,,,,4.0,,7.0,,21.398,-77.817
Carnilya Hill,Reserves Development,Inactive,Australia,Development-stage,431123.1641444475,,2.8,,0.1,3000.0,73000.0,,,,,8.0,0.0,-31.05556,121.86389
Carrascal,Operating,Active,Philippines,Operating-stage,3921058.5644175685,143535.84483644727,1.32,16597.57926763072,74.170369,741704.0,18150803.81277565,,,,,,,9.365,125.905
Carrascal-Cantilan,Operating,Active,Philippines,Operating-stage,3404773.119531124,209950.78995589993,0.99,24277.384388306396,63.543,768870.0,35399061.03286386,,,,,,,9.281,125.881
Cawse,Feasibility,Inactive,Australia,Operating-stage,3139864.1941721775,,1.0,18725.563041893125,176.485,1219300.0,30300000.0,,,3.0,,2.0,,-30.37056,121.14611
Celestial,Operating,Active,Philippines,Operating-stage,4901338.847310696,171339.15042378035,1.43,19812.578064020163,50.0,615000.0,20000000.0,,,,,,,8.91879,117.89098
Central Musgrave,Operating,Active,Australia,Operating-stage,8281295.581977881,1358021.4230528015,0.93,35073.25225614018,,1684000.0,168422000.0,,,,,,,-26.05756,128.95332
Cerro Matoso,Operating,Active,Colombia,Operating-stage,5148334.644564905,243355.7476472468,1.2,34669.89759388932,314.0,2707000.0,37000000.0,,,,,,,7.90667,-75.55056
Clarion-Clipperton Zone,Reserves Development,Active,Tonga,Operating-stage,,,1.3,,756.0,,,,,,,2.0,,15.0,-130.0
Claude Hills,Reserves Development,Active,Australia,Operating-stage,,,0.81,,33.3,,,,,,,0.0,,-26.149,129.149
Clean TeQ Sunrise,Operating,Active,Australia,Operating-stage,2753420.706401827,727564.7549498765,0.56,16912.145167750885,184.0,928500.0,147400000.0,,,,,,,-32.76215,147.42705
Cliffs,Satellite,Active,Australia,Construction-stage,2871831.708995015,,3.1,,,,1500000.0,,,,,7.0,0.0,-27.31306,120.55306
Codemin,Operating,Active,Brazil,Operating-stage,2114433.066362961,61913.64462844691,1.25,7272.222422132882,10.6,134000.0,8300000.0,,,,,,,-14.15678,-48.33885
